"","rotarypursuit_1_2","rotarypursuit_2_2","rotarypursuit_3_2","rotarypursuit_4_2","rotarypursuit_5_2","rotarypursuit_6_2","rotarypursuit_7_2","rotarypursuit_8_2","rotarypursuit_9_2","rotarypursuit_10_2","rotarypursuit_11_2","rotarypursuit_12_2","rotarypursuit_13_2","rotarypursuit_14_2","rotarypursuit_15_2","rotarypursuit_16_2"
"43","6.08; 13.92","5.47; 14.53","6.64; 13.36","9.13; 10.87","7.76; 12.24","7.15; 12.85","11.09; 8.91","7.93; 12.07","6.02; 13.98","9.17; 10.83","7.85; 12.15","7.60; 12.40","10.03; 9.97","11.68; 8.32","10.07; 9.93","9.18; 10.82"
"44","4.61; 15.39","6.43; 13.57","6.69; 13.31","7.24; 12.76","7.09; 12.91","7.11; 12.89","7.40; 12.60","9.25; 10.75","9.36; 10.64","8.98; 11.02","8.40; 11.60","8.32; 11.68","7.18; 12.83","8.98; 11.02","4.85; 15.15","8.70; 11.30"
"45","4.76; 15.24","4.57; 15.43","4.47; 15.53","6.12; 13.88","4.87; 15.13","3.01; 16.99","5.87; 14.13","5.38; 14.62","8.84; 11.16","8.54; 11.46","7.99; 12.01","8.24; 11.76","9.99; 10.01","5.88; 14.12","8.72; 11.28","10.30; 9.70"
"46","10.15; 9.85","10.25; 9.75","9.47; 10.53","10.58; 9.42","12.32; 7.68","13.15; 6.85","13.20; 6.80","11.90; 8.10","15.12; 4.88","15.54; 4.46","13.75; 6.25","13.06; 6.94","14.60; 5.40","11.50; 8.50","12.05; 7.95","12.58; 7.42"
"47","1.32; 18.68","2.30; 17.70","1.13; 18.87","1.23; 18.77","0.29; 19.71","0.61; 19.39","0.12; 19.88","0.18; 19.82","0.04; 19.96","1.12; 18.88","1.34; 18.66","1.05; 18.95","0.21; 19.79","","",""
"48","3.48; 16.52","6.35; 13.65","6.72; 13.28","4.84; 15.16","5.73; 14.27","4.82; 15.19","5.01; 14.99","6.59; 13.41","6.34; 13.66","5.28; 14.72","7.54; 12.46","8.36; 11.64","3.28; 16.72","3.99; 16.01","8.32; 11.68","8.80; 11.20"
"49","1.49; 18.51","3.17; 16.83","1.23; 8.77","3.89; 16.11","6.20; 13.80","4.92; 15.08","5.25; 14.75","7.53; 12.47","6.33; 13.67","7.71; 12.29","8.95; 11.05","10.03; 9.97","11.11; 8.89","10.81; 9.19","11.82; 8.18","10.95; 9.05"
"50","4.81; 15.19","3.68; 16.32","3.84; 16.16","3.79; 16.22","4.08; 15.92","5.55; 14.45","5.05; 14.95","4.27; 15.73","3.23; 16.77","2.10; 17.90","6.28; 13.72","2.37; 17.63","7.27; 12.73","7.28; 12.72","7.00; 13.00","6.51; 13.49"
"51","6.18; 13.82","7.54; 12.46","6.38; 13.62","6.87; 13.13","6.43; 13.57","5.59; 14.41","6.13; 13.87","6.72; 13.28","6.85; 13.15","6.61; 13.39","9.27; 10.73","8.99; 11.01","8.51; 11.49","8.34; 11.66","8.59; 11.41","9.82; 10.18"
"52","","","","","","","","","","","","","","","",""
"53","1.63; 18.37","2.75; 17.25","5.45; 14.55","6.04; 13.96","5.64; 14.36","7.00; 13.00","7.05; 12.95","7.38; 12.62","6.97; 13.03","7.91; 12.09","5.87; 14.13","7.62; 12.38","7.86; 12.14","6.49; 13.51","7.89; 12.11","7.69; 12.32"
"54","5.30; 14.70","4.64; 15.37","4.62; 15.38","3.49; 16.51","6.58; 13.42","5.56; 14.44","7.90; 12.10","6.05; 13.95","6.69; 13.31","6.36; 13.64","7.27; 12.73","6.10; 13.90","4.85; 15.15","4.55; 15.45","5.39; 14.61","8.11; 11.89"
"55","1.93; 18.07","1.82; 18.18","2.36; 17.64","2.29; 17.71","2.59; 17.41","3.96; 16.04","4.11; 15.89","3.27; 16.73","6.27; 13.74","6.64; 13.36","7.12; 12.89","4.40; 15.60","7.19; 12.81","7.06; 12.94","4.61; 15.39","6.21; 13.79"
"56","","","","","","","","","","","","","","","",""
"57","11.80; 8.20","14.83; 5.17","13.08; 6.92","12.85; 7.15","10.87; 9.13","12.46; 7.54","14.81; 5.19","11.95; 8.05","14.96; 5.04","13.48; 6.52","15.28; 4.72","15.33; 4.67","13.71; 6.29","11.54; 8.46","13.08; 6.92","13.11; 6.89"
"58","","","","","","","","","","","","","","","",""
"59","2.67; 17.33","5.19; 14.81","5.85; 14.15","4.51; 15.49","7.06; 12.94","4.86; 15.14","5.75; 14.25","5.42; 14.58","6.82; 13.18","8.14; 11.86","9.15; 10.85","8.71; 11.29","6.98; 13.02","6.50; 13.50","8.76; 11.24","7.17; 12.83"
"60","0.32; 19.68","0.28; 19.72","2.126; 17.84","2.83; 17.17","3.57; 16.43","3.07; 16.93","4.24; 15.76","3.94; 16.06","3.54; 16.46","6.20; 13.80","7.29; 12.71","6.11; 13.89","5.52; 14.48","5.82; 14.18","5.45; 14.55","6.57; 13.43"
"61","","","","","","","","","","","","","","","",""
"62","","","","","","","","","","","","","","","",""
